--------------------------------------------------------------------------------
Process info Logger: Mon Jun 10 14:30:13 2024
--------------------------------------------------------------------------------
Error: Exception occurred (schedulefun.<locals>.job_func() takes 0 positional arguments but 1 was given){'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'name': 'System Idle Process'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 17592, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 17620, 'name': 'Code.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 17700, 'name': 'cmd.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 17808, 'name': 'RuntimeBroker.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 18020, 'name': 'brave.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 18084, 'name': 'dllhost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 18252, 'name': 'brave.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 18304, 'name': 'brave.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 18408, 'name': 'SystemOptimizer.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 18480, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 18520, 'name': 'taskhostw.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 18680, 'name': 'Widgets.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 18780, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 18800, 'name': 'TextInputHost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 18868, 'name': 'StartMenuExperienceHost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 18992, 'name': 'BridgeCommunication.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 19028, 'name': 'python.exe'}
{'username': None, 'pid': 19228, 'name': 'svchost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 19328, 'name': 'py.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 19380, 'name': 'python.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 19448, 'name': 'conhost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 19528, 'name': 'brave.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 19532, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 19620, 'name': 'python.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 19684, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 19804, 'name': 'HPSystemEventUtilityBackground.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 19876, 'name': 'brave.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 20120, 'name': 'Code.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 20144, 'name': 'Code.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 20444, 'name': 'HPQuickDrop.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 20648, 'name': 'brave.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 20852, 'name': 'conhost.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 21200, 'name': 'msedge.exe'}
{'username': 'LAPTOP\\NAVNATH', 'pid': 21416, 'name': 'RuntimeBroker.exe'}
